PointID,Easting,Northing,Height,Type
CP1,500000.000,600000.000,100.000,control
CP2,500200.000,600000.000,100.500,control
T1,500000.000,600000.000,100.000,traverse
T2,500050.125,600030.250,100.150,traverse
T3,500100.380,600055.620,100.320,traverse
T4,500150.890,600070.450,100.480,traverse
T5,500200.120,600060.180,100.550,traverse
T6,500200.000,600000.000,100.500,traverse
D1,500025.500,600015.200,100.080,detail
D2,500075.300,600042.800,100.240,detail
D3,500125.600,600062.100,100.400,detail
D4,500175.200,600065.300,100.520,detail
D5,500050.000,600010.000,100.100,detail
D6,500100.000,600025.000,100.200,detail
D7,500150.000,600040.000,100.350,detail
D8,500180.000,600030.000,100.450,detail
D9,500080.000,600050.000,100.280,detail
D10,500120.000,600058.000,100.360,detail
BND1,499990.000,599980.000,99.800,detail
BND2,500010.000,599975.000,99.750,detail
BND3,500030.000,599970.000,99.720,detail
BND4,500050.000,599968.000,99.700,detail
BND5,500070.000,599965.000,99.680,detail
BND6,500090.000,599963.000,99.660,detail
BND7,500110.000,599962.000,99.650,detail
BND8,500130.000,599963.000,99.660,detail
BND9,500150.000,599965.000,99.680,detail
BND10,500170.000,599970.000,99.720,detail
BND11,500190.000,599978.000,99.780,detail
BND12,500210.000,599990.000,99.900,detail
